,Algorithm,Dataset,alpha,Coverage,Length
0,cox_ph_alg_1,rr_nl_nph,0.6,0.5964,8.737916544789915
1,cox_ph_alg_1,rr_nl_nph,0.6,0.6196,9.943516544789912
2,cox_ph_alg_1,rr_nl_nph,0.6,0.5977000000000001,9.467366544789915
3,cox_ph_alg_1,rr_nl_nph,0.6,0.6259,9.364316544789913
4,cox_ph_alg_1,rr_nl_nph,0.6,0.5759,8.806456544789915
5,cox_ph_alg_1,rr_nl_nph,0.6,0.6197,8.850436544789915
6,cox_ph_alg_1,rr_nl_nph,0.6,0.5972000000000001,10.121196544789916
7,cox_ph_alg_1,rr_nl_nph,0.6,0.5478000000000001,9.893546544789915
8,cox_ph_alg_1,rr_nl_nph,0.6,0.6276999999999999,10.260506544789914
9,cox_ph_alg_1,rr_nl_nph,0.6,0.5688,9.948226544789915
10,cox_ph_alg_2,rr_nl_nph,0.6,0.6612,9.740777833089547
11,cox_ph_alg_2,rr_nl_nph,0.6,0.6955000000000001,11.486914149253296
12,cox_ph_alg_2,rr_nl_nph,0.6,0.6412,10.111019711966122
13,cox_ph_alg_2,rr_nl_nph,0.6,0.6979000000000002,10.656650376555444
14,cox_ph_alg_2,rr_nl_nph,0.6,0.6679,10.331573163229319
15,cox_ph_alg_2,rr_nl_nph,0.6,0.7102,10.42815847793971
16,cox_ph_alg_2,rr_nl_nph,0.6,0.6685000000000001,11.178896016584304
17,cox_ph_alg_2,rr_nl_nph,0.6,0.5617,10.065282165530846
18,cox_ph_alg_2,rr_nl_nph,0.6,0.6975999999999998,11.3110006609155
19,cox_ph_alg_2,rr_nl_nph,0.6,0.6286999999999999,10.796632353514122
20,cox_cc_alg_1,rr_nl_nph,0.6,0.6424,11.323396544789917
21,cox_cc_alg_1,rr_nl_nph,0.6,0.6121,9.910186544789914
22,cox_cc_alg_1,rr_nl_nph,0.6,0.5982999999999999,9.437806544789915
23,cox_cc_alg_1,rr_nl_nph,0.6,0.6283,9.413206544789915
24,cox_cc_alg_1,rr_nl_nph,0.6,0.5772999999999999,8.824326544789912
25,cox_cc_alg_1,rr_nl_nph,0.6,0.6162000000000001,8.816636544789914
26,cox_cc_alg_1,rr_nl_nph,0.6,0.5965,10.146006544789914
27,cox_cc_alg_1,rr_nl_nph,0.6,0.5498999999999999,10.017316544789916
28,cox_cc_alg_1,rr_nl_nph,0.6,0.6241999999999999,10.178236544789913
29,cox_cc_alg_1,rr_nl_nph,0.6,0.5739,10.138986544789914
30,cox_cc_alg_2,rr_nl_nph,0.6,0.6479,11.391718079618947
31,cox_cc_alg_2,rr_nl_nph,0.6,0.6969,11.396002375903159
32,cox_cc_alg_2,rr_nl_nph,0.6,0.6393,10.061191103294577
33,cox_cc_alg_2,rr_nl_nph,0.6,0.6992999999999999,10.96957607821527
34,cox_cc_alg_2,rr_nl_nph,0.6,0.6544999999999999,10.024639112488174
35,cox_cc_alg_2,rr_nl_nph,0.6,0.7121999999999999,10.504526869522012
36,cox_cc_alg_2,rr_nl_nph,0.6,0.6708000000000002,11.346313764821682
37,cox_cc_alg_2,rr_nl_nph,0.6,0.5701999999999999,10.1976046954861
38,cox_cc_alg_2,rr_nl_nph,0.6,0.7066999999999999,11.37182625472456
39,cox_cc_alg_2,rr_nl_nph,0.6,0.6255000000000001,10.752885815394013
40,cox_ph_alg_1,metabric,0.6,0.8262499999999999,251.7069270833333
41,cox_ph_alg_1,metabric,0.6,0.7742708333333334,241.47153669230147
42,cox_ph_alg_1,metabric,0.6,0.7518750000000001,236.29445249938968
43,cox_ph_alg_1,metabric,0.6,0.9109375000000001,253.76979712041216
44,cox_ph_alg_1,metabric,0.6,0.7440625000000001,234.68623431523642
45,cox_ph_alg_1,metabric,0.6,0.8195833333333334,253.7070729166666
46,cox_ph_alg_1,metabric,0.6,0.8286458333333334,258.1077456207275
47,cox_ph_alg_1,metabric,0.6,0.7616666666666667,222.81442708333327
48,cox_ph_alg_1,metabric,0.6,0.8054166666666666,240.13667189280193
49,cox_ph_alg_1,metabric,0.6,0.8125,248.04122435506187
50,cox_ph_alg_2,metabric,0.6,0.8635416666666668,
51,cox_ph_alg_2,metabric,0.6,0.8367708333333334,
52,cox_ph_alg_2,metabric,0.6,0.8410416666666666,
53,cox_ph_alg_2,metabric,0.6,0.914375,
54,cox_ph_alg_2,metabric,0.6,0.8490624999999999,
55,cox_ph_alg_2,metabric,0.6,0.9187500000000001,
56,cox_ph_alg_2,metabric,0.6,0.8896875,
57,cox_ph_alg_2,metabric,0.6,0.8450000000000001,
58,cox_ph_alg_2,metabric,0.6,0.866875,
59,cox_ph_alg_2,metabric,0.6,0.8291666666666667,
60,cox_cc_alg_1,metabric,0.6,0.8107291666666668,245.73628124999996
61,cox_cc_alg_1,metabric,0.6,0.813125,247.33914056777954
62,cox_cc_alg_1,metabric,0.6,0.7538541666666667,236.15398357772827
63,cox_cc_alg_1,metabric,0.6,0.9072916666666666,253.6261304575602
64,cox_cc_alg_1,metabric,0.6,0.7851041666666667,243.191088528951
65,cox_cc_alg_1,metabric,0.6,0.8567708333333334,262.62094791666664
66,cox_cc_alg_1,metabric,0.6,0.8307291666666666,258.0223810361226
67,cox_cc_alg_1,metabric,0.6,0.7619791666666668,221.40973958333333
68,cox_cc_alg_1,metabric,0.6,0.7807291666666667,233.63448441441855
69,cox_cc_alg_1,metabric,0.6,0.8197916666666667,249.74073485310873
70,cox_cc_alg_2,metabric,0.6,0.83625,265.6607762212058
71,cox_cc_alg_2,metabric,0.6,0.8729166666666667,265.3581898281971
72,cox_cc_alg_2,metabric,0.6,0.8558333333333333,269.39148076459765
73,cox_cc_alg_2,metabric,0.6,0.9175,263.9991306233605
74,cox_cc_alg_2,metabric,0.6,0.87875,270.5758980696996
75,cox_cc_alg_2,metabric,0.6,0.9395833333333333,295.36692611193655
76,cox_cc_alg_2,metabric,0.6,0.8835416666666666,279.45023176223043
77,cox_cc_alg_2,metabric,0.6,0.8391666666666667,256.79962250147264
78,cox_cc_alg_2,metabric,0.6,0.8638541666666666,270.6922693490386
79,cox_cc_alg_2,metabric,0.6,0.8414583333333333,260.7171759107908
80,cox_ph_alg_1,support,0.6,0.9078,1755.9512299999997
81,cox_ph_alg_1,support,0.6,0.9369999999999998,1763.6029000000003
82,cox_ph_alg_1,support,0.6,0.8595999999999999,1597.6322400000001
83,cox_ph_alg_1,support,0.6,0.9102000000000001,1737.7332800000001
84,cox_ph_alg_1,support,0.6,0.9115000000000001,1723.87009
85,cox_ph_alg_1,support,0.6,0.8584,1561.50406
86,cox_ph_alg_1,support,0.6,0.8532,1624.2795299999998
87,cox_ph_alg_1,support,0.6,0.8944,1684.5582000000002
88,cox_ph_alg_1,support,0.6,0.9014,1707.7982600000003
89,cox_ph_alg_1,support,0.6,0.8771000000000001,1642.2028000000003
90,cox_ph_alg_2,support,0.6,0.9411,1822.7461399999997
91,cox_ph_alg_2,support,0.6,0.9515,1823.0529800000004
92,cox_ph_alg_2,support,0.6,0.9087,1721.35328
93,cox_ph_alg_2,support,0.6,0.9512999999999999,1825.9088199999999
94,cox_ph_alg_2,support,0.6,0.9444000000000001,1802.7875999999999
95,cox_ph_alg_2,support,0.6,0.9089999999999999,1705.47267
96,cox_ph_alg_2,support,0.6,0.9312,1804.00179
97,cox_ph_alg_2,support,0.6,0.946,1810.05067
98,cox_ph_alg_2,support,0.6,0.944,1802.5680000000002
99,cox_ph_alg_2,support,0.6,0.9215000000000001,1744.8449199999998
100,cox_cc_alg_1,support,0.6,0.9005000000000001,1743.7639200000003
101,cox_cc_alg_1,support,0.6,0.9068999999999999,1727.18618
102,cox_cc_alg_1,support,0.6,0.8826999999999999,1634.7995
103,cox_cc_alg_1,support,0.6,0.9079999999999999,1729.29198
104,cox_cc_alg_1,support,0.6,0.9447000000000001,1761.0062899999998
105,cox_cc_alg_1,support,0.6,0.8773999999999998,1592.6815000000001
106,cox_cc_alg_1,support,0.6,0.8523000000000001,1620.6385999999998
107,cox_cc_alg_1,support,0.6,0.9146,1712.2412300000003
108,cox_cc_alg_1,support,0.6,0.9477000000000001,1769.35192
109,cox_cc_alg_1,support,0.6,0.8828,1649.9874
110,cox_cc_alg_2,support,0.6,0.9364999999999999,1818.8563599999998
